,tbl,Year,quarter,citymarketid_1,citymarketid_2,city1,city2,nsmiles,passengers,fare,carrier_lg,large_ms,fare_lg,carrier_low,lf_ms,fare_low
0,Table 1,2011,1,30135,31454,"Allentown/Bethlehem/Easton, PA","Orlando, FL",906,291.77777777777777,119.16100533130236,FL,0.6877380045696877,112.95,G4,0.11957349581111958,84.79299363057325
1,Table 1,2011,1,30140,30194,"Albuquerque, NM","Dallas/Fort Worth, TX",580,532.3333333333334,189.70519724483407,WN,0.6126069714047172,189.17226575809198,WN,0.6126069714047172,189.17226575809198
2,Table 1,2011,1,30140,30325,"Albuquerque, NM","Denver, CO",349,521.7777777777778,114.18047274275979,WN,0.4497444633730835,111.50160984848485,F9,0.31920783645655876,104.57658438959307
3,Table 1,2011,1,30140,30423,"Albuquerque, NM","Austin, TX",619,151.77777777777777,201.04370424597366,WN,0.718887262079063,202.16099796334012,AA,0.1800878477306003,201.3979674796748
4,Table 1,2011,1,30140,30436,"Albuquerque, NM","Tucson, AZ",321,155.66666666666666,115.90970735189151,WN,0.92790863668808,114.2703076923077,WN,0.92790863668808,114.2703076923077
5,Table 1,2011,1,30140,30466,"Albuquerque, NM","Phoenix, AZ",328,907.4444444444445,130.66766254438593,WN,0.8655565078976368,130.7387466402603,US,0.13383127219297172,130.1224153705398
6,Table 1,2011,1,30140,30559,"Albuquerque, NM","Seattle, WA",1180,198.77777777777777,199.05567356064842,WN,0.674678591391839,197.6069594034797,DL,0.11738401341531582,195.11333333333334
7,Table 1,2011,1,30140,30721,"Albuquerque, NM","Boston, MA (Metropolitan Area)",1974,148.66666666666666,258.94439461883405,WN,0.375186846038864,248.600796812749,WN,0.375186846038864,248.600796812749
8,Table 1,2011,1,30140,30852,"Albuquerque, NM","Washington, DC (Metropolitan Area)",1670,478.1111111111111,282.57222867766677,WN,0.3704392284452707,252.8077791718946,AA,0.25493841505926096,250.65824977210573
9,Table 1,2011,1,30140,30977,"Albuquerque, NM","Chicago, IL",1121,246.88888888888889,207.51800180018003,WN,0.48694869486948694,200.5394639556377,WN,0.48694869486948694,200.5394639556377
10,Table 1,2011,1,30140,31453,"Albuquerque, NM","Houston, TX",759,318.44444444444446,208.9867062107467,WN,0.630844382414515,200.14762168141593,WN,0.630844382414515,200.14762168141593
11,Table 1,2011,1,30140,31454,"Albuquerque, NM","Orlando, FL",1552,179.0,217.79180633147112,WN,0.7045313469894475,209.69568281938325,WN,0.7045313469894475,209.69568281938325
12,Table 1,2011,1,30140,31703,"Albuquerque, NM","New York City, NY (Metropolitan Area)",1861,281.22222222222223,233.79569340181746,AA,0.3970762544448834,226.96278606965174,WN,0.12959304622678783,212.7079268292683
13,Table 1,2011,1,30140,32211,"Albuquerque, NM","Las Vegas, NV",487,521.2222222222222,164.74282668940523,WN,0.9066297164783628,166.67441805784154,DL,0.03965039437220209,135.66075268817204
14,Table 1,2011,1,30140,32457,"Albuquerque, NM","San Francisco, CA (Metropolitan Area)",896,488.6666666666667,192.5461800818554,WN,0.7862664847658026,187.12553499132446,WN,0.7862664847658026,187.12553499132446
15,Table 1,2011,1,30140,32575,"Albuquerque, NM","Los Angeles, CA (Metropolitan Area)",677,747.4444444444445,182.02421584658836,WN,0.7410435558198305,182.84411233701104,UA,0.10123383380407314,168.99882525697504
16,Table 1,2011,1,30140,33570,"Albuquerque, NM","San Diego, CA",628,264.44444444444446,171.97521008403362,WN,0.8663865546218488,171.80717749757517,WN,0.8663865546218488,171.80717749757517
17,Table 1,2011,1,30140,34057,"Albuquerque, NM","Portland, OR",1111,173.44444444444446,192.16137091607945,WN,0.7149263292761051,184.1882616487455,DL,0.12043561819346572,183.81542553191488
18,Table 1,2011,1,30140,34614,"Albuquerque, NM","Salt Lake City, UT",493,169.22222222222223,178.17321076822063,DL,0.5994747209455022,181.38247535596932,WN,0.3532501641497045,171.55241635687733
19,Table 1,2011,1,30158,31135,"Atlantic City, NJ","Myrtle Beach, SC",466,166.33333333333334,84.55330661322645,NK,1.0,84.55330661322645,NK,1.0,84.55330661322645
20,Table 1,2011,1,30158,31454,"Atlantic City, NJ","Orlando, FL",852,490.8888888888889,100.62888184698959,NK,0.9893617021276596,99.78977350720659,NK,0.9893617021276596,99.78977350720659
21,Table 1,2011,1,30158,31714,"Atlantic City, NJ","Fort Myers, FL",982,327.0,113.36235134216786,NK,0.9955827387020048,112.9903071672355,NK,0.9955827387020048,112.9903071672355
22,Table 1,2011,1,30158,32467,"Atlantic City, NJ","Miami, FL (Metropolitan Area)",977,613.2222222222222,111.32302953433593,NK,0.9980068853053089,111.13997821350763,NK,0.9980068853053089,111.13997821350763
23,Table 1,2011,1,30158,33195,"Atlantic City, NJ","Tampa, FL (Metropolitan Area)",914,204.66666666666666,108.16150922909881,NK,0.9641693811074918,105.00484234234234,NK,0.9641693811074918,105.00484234234234
24,Table 1,2011,1,30158,34027,"Atlantic City, NJ","West Palm Beach/Palm Beach, FL",936,222.88888888888889,101.24471585244267,NK,0.9975074775672981,100.6776111944028,NK,0.9975074775672981,100.6776111944028
25,Table 1,2011,1,30189,30194,"Colorado Springs, CO","Dallas/Fort Worth, TX",603,171.77777777777777,243.6730918499353,AA,0.908150064683053,246.29878917378917,F9,0.03945666235446313,216.25737704918032
26,Table 1,2011,1,30189,30852,"Colorado Springs, CO","Washington, DC (Metropolitan Area)",1504,217.11111111111111,293.1398157625384,UA,0.6325486182190379,311.2292071197411,AA,0.18065506653019447,247.80028328611897
27,Table 1,2011,1,30189,32575,"Colorado Springs, CO","Los Angeles, CA (Metropolitan Area)",833,204.0,223.11399782135075,UA,0.5844226579520697,264.758807082945,G4,0.10729847494553377,90.78680203045685
28,Table 1,2011,1,30194,30198,"Dallas/Fort Worth, TX","Pittsburgh, PA",1068,528.1111111111111,280.45165158847044,AA,0.619398274773827,267.1542798913043,AA,0.619398274773827,267.1542798913043
29,Table 1,2011,1,30194,30325,"Dallas/Fort Worth, TX","Denver, CO",651,1740.5555555555557,199.88792850303224,AA,0.395850622406639,207.78376068376068,F9,0.26690073412065113,182.98849557522124
30,Table 1,2011,1,30194,30436,"Dallas/Fort Worth, TX","Tucson, AZ",824,260.77777777777777,236.09118023008097,AA,0.775884107371112,245.16578802855574,WN,0.11589262888794205,196.81176470588235
31,Table 1,2011,1,30194,30466,"Dallas/Fort Worth, TX","Phoenix, AZ",879,1475.888888888889,224.61544831739818,AA,0.5454340134005872,221.847977915804,AA,0.5454340134005872,221.847977915804
32,Table 1,2011,1,30194,30529,"Dallas/Fort Worth, TX","Hartford, CT",1471,319.3333333333333,294.9723382045929,AA,0.6471816283924844,312.39639784946235,US,0.1767571329157968,254.69212598425196
33,Table 1,2011,1,30194,30559,"Dallas/Fort Worth, TX","Seattle, WA",1670,886.0,249.49494607474293,AA,0.4721595184349135,281.332802124834,AS,0.2890644594933534,230.11553145336225
34,Table 1,2011,1,30194,30615,"Dallas/Fort Worth, TX","El Paso, TX",562,621.4444444444445,191.74493116395493,WN,0.685857321652065,187.14165797705942,WN,0.685857321652065,187.14165797705942
35,Table 1,2011,1,30194,30693,"Dallas/Fort Worth, TX","Nashville, TN",631,624.0,217.82834757834758,AA,0.739494301994302,224.7667228509511,WN,0.2257834757834758,191.77294952681387
36,Table 1,2011,1,30194,30852,"Dallas/Fort Worth, TX","Washington, DC (Metropolitan Area)",1217,2430.8888888888887,279.9045022396928,AA,0.7060060334582686,290.9280460960766,WN,0.08556540817259348,207.22628205128206
37,Table 1,2011,1,30194,31123,"Dallas/Fort Worth, TX","St. Louis, MO",551,998.8888888888889,174.6560956618465,WN,0.5173526140155729,170.16680283809933,WN,0.5173526140155729,170.16680283809933
38,Table 1,2011,1,30194,31136,"Dallas/Fort Worth, TX","Jacksonville, FL",919,437.1111111111111,188.97267412303,AA,0.7511438739196746,186.332013536379,FL,0.04677173360447382,154.5929347826087
39,Table 1,2011,1,30194,31267,"Dallas/Fort Worth, TX","Dayton, OH",861,170.11111111111111,243.3301110385369,AA,0.736120182887002,251.36823425022183,FL,0.07380796864794252,178.62300884955752
40,Table 1,2011,1,30194,31295,"Dallas/Fort Worth, TX","Detroit, MI",987,723.1111111111111,246.10560848186847,AA,0.49154886293792255,243.36455142231947,AA,0.49154886293792255,243.36455142231947
41,Table 1,2011,1,30194,31453,"Dallas/Fort Worth, TX","Houston, TX",247,3228.5555555555557,148.67323192346078,WN,0.7004508380080532,145.29012921927972,WN,0.7004508380080532,145.29012921927972
42,Table 1,2011,1,30194,31454,"Dallas/Fort Worth, TX","Orlando, FL",984,1701.6666666666667,191.24333006856023,AA,0.5862879529872674,208.23993763225303,FL,0.1664381325497878,141.05727736367203
43,Table 1,2011,1,30194,31650,"Dallas/Fort Worth, TX","Minneapolis/St. Paul, MN",853,905.1111111111111,206.85595384237664,AA,0.47066044684507735,206.98941053729786,AA,0.47066044684507735,206.98941053729786
44,Table 1,2011,1,30194,31703,"Dallas/Fort Worth, TX","New York City, NY (Metropolitan Area)",1428,3080.1111111111113,357.90724360593055,AA,0.5652393492298258,412.61500414831835,US,0.1468201002849825,230.93938574938574
45,Table 1,2011,1,30194,31714,"Dallas/Fort Worth, TX","Fort Myers, FL",1017,254.77777777777777,219.45490623637156,AA,0.7675534234627126,217.48744318181818,DL,0.07283035324901875,210.09461077844313
46,Table 1,2011,1,30194,32206,"Dallas/Fort Worth, TX","Harlingen/San Benito, TX",461,167.44444444444446,198.19993364299933,WN,0.9741207697412076,195.46158038147138,WN,0.9741207697412076,195.46158038147138
47,Table 1,2011,1,30194,32211,"Dallas/Fort Worth, TX","Las Vegas, NV",1067,1769.7777777777778,226.2621923656454,AA,0.57245102963335,242.72899758719018,US,0.21226770467101957,205.00709849157053
48,Table 1,2011,1,30194,32337,"Dallas/Fort Worth, TX","Indianapolis, IN",762,521.2222222222222,201.71385632061393,AA,0.7518652739287999,206.80280691806067,CO,0.017906629716478363,163.12738095238095
49,Table 1,2011,1,30194,32448,"Dallas/Fort Worth, TX","Jackson/Vicksburg, MS",408,175.11111111111111,168.69263959390864,AA,0.8045685279187818,166.0667192429022,AA,0.8045685279187818,166.0667192429022
50,Table 1,2011,1,30194,32457,"Dallas/Fort Worth, TX","San Francisco, CA (Metropolitan Area)",1476,1994.0,233.86755265797393,AA,0.6175192243396858,243.00994405341996,VX,0.1381923548423047,177.33951612903226
51,Table 1,2011,1,30194,32467,"Dallas/Fort Worth, TX","Miami, FL (Metropolitan Area)",1121,1323.5555555555557,240.29976494291472,AA,0.8012088650100738,244.0090004191115,CO,0.018300873069173943,196.50779816513761
52,Table 1,2011,1,30194,32575,"Dallas/Fort Worth, TX","Los Angeles, CA (Metropolitan Area)",1246,3664.3333333333335,228.0851178022378,AA,0.6892567997816792,235.82116492895165,VX,0.07713999818066042,176.01073113207548
53,Table 1,2011,1,30194,32600,"Dallas/Fort Worth, TX","Little Rock, AR",304,483.6666666666667,134.49634734665747,WN,0.6395589248793935,130.53674568965516,WN,0.6395589248793935,130.53674568965516
54,Table 1,2011,1,30194,32896,"Dallas/Fort Worth, TX","Lubbock, TX",293,525.2222222222222,132.21872223397503,WN,0.7706790776390946,132.3529783145759,AA,0.22784006769621323,131.47400185701022
55,Table 1,2011,1,30194,33044,"Dallas/Fort Worth, TX","Louisville, KY",733,234.22222222222223,235.76465844402276,AA,0.7528462998102466,238.79741650913672,WN,0.14231499051233396,217.567
56,Table 1,2011,1,30194,33158,"Dallas/Fort Worth, TX","Midland/Odessa, TX",319,373.8888888888889,144.45937592867756,WN,0.8074294205052006,145.1428045638572,AA,0.18454680534918277,139.64170692431563
57,Table 1,2011,1,30194,33192,"Dallas/Fort Worth, TX","Sacramento, CA",1442,374.0,240.89049316696375,AA,0.6571598336304219,249.55660036166364,WN,0.1295306001188354,191.9697247706422
58,Table 1,2011,1,30194,33195,"Dallas/Fort Worth, TX","Tampa, FL (Metropolitan Area)",929,798.0,210.97687273739905,AA,0.6974380395433027,212.76456378518665,WN,0.17223614592035644,200.5343573160873
59,Table 1,2011,1,30194,33198,"Dallas/Fort Worth, TX","Kansas City, MO",461,994.8888888888889,168.38387312932767,WN,0.5546124637033728,161.0032420459122,WN,0.5546124637033728,161.0032420459122
60,Table 1,2011,1,30194,33214,"Dallas/Fort Worth, TX","San Antonio, TX",248,1474.0,139.26807628524045,WN,0.7169455751545304,139.76617600672904,AA,0.27400874415799786,137.78786795048143
61,Table 1,2011,1,30194,33244,"Dallas/Fort Worth, TX","Memphis, TN",432,233.55555555555554,283.2934348239772,AA,0.6517602283539486,290.86058394160585,DL,0.3016175071360609,272.0779179810726
62,Table 1,2011,1,30194,33256,"Dallas/Fort Worth, TX","Mission/McAllen/Edinburg, TX",468,172.77777777777777,196.1475884244373,AA,0.9581993569131833,195.6944966442953,AA,0.9581993569131833,195.6944966442953
63,Table 1,2011,1,30194,33316,"Dallas/Fort Worth, TX","Omaha, NE",585,311.55555555555554,240.9712910128388,AA,0.8216833095577746,247.47986111111112,F9,0.020684736091298145,186.05344827586208
64,Table 1,2011,1,30194,33342,"Dallas/Fort Worth, TX","Milwaukee, WI",853,508.1111111111111,177.24347255630877,AA,0.36715504045484365,187.72692078618226,F9,0.36343756833588453,157.50860409145608
65,Table 1,2011,1,30194,33495,"Dallas/Fort Worth, TX","New Orleans, LA",448,1047.6666666666667,169.22016120479373,WN,0.6012302471099799,170.91838066678426,AA,0.3726800296956199,164.2695219123506
66,Table 1,2011,1,30194,33570,"Dallas/Fort Worth, TX","San Diego, CA",1182,853.3333333333334,258.18182291666665,AA,0.6272135416666667,282.9692754826656,WN,0.20559895833333333,212.7050664977834
67,Table 1,2011,1,30194,33667,"Dallas/Fort Worth, TX","Norfolk, VA (Metropolitan Area)",1213,208.55555555555554,251.39797549280766,AA,0.4539158231220032,260.56525821596244,DL,0.15663292488012787,232.36020408163265
68,Table 1,2011,1,30194,33851,"Dallas/Fort Worth, TX","Oklahoma City, OK",181,225.66666666666666,144.21166912850813,WN,0.6011816838995568,142.33095823095823,WN,0.6011816838995568,142.33095823095823
69,Table 1,2011,1,30194,34027,"Dallas/Fort Worth, TX","West Palm Beach/Palm Beach, FL",1103,238.44444444444446,228.94296365330848,AA,0.7581547064305685,224.1303626306085,FL,0.016309412861136997,215.98285714285714
70,Table 1,2011,1,30194,34057,"Dallas/Fort Worth, TX","Portland, OR",1626,402.0,276.049087893864,AA,0.5251520176893312,297.09384210526315,WN,0.119126589275843,219.80580046403713
